product_id,test_n,excluded_n,excluded_pct
100062XXC08D,28,1,3.571428571428571
100073AAA08U,2,0,0.0
100073AAA09A,3,0,0.0
100074AAA08U,2,1,50.0
100075AAA08U,3,0,0.0
100076AAA08Y,24,0,0.0
100076AAA08Z,38,0,0.0
100076AAK08W,46,0,0.0
100076AAK08X,48,0,0.0
100097FPA05P,29,4,13.793103448275861
100110AAA06Z,34,1,2.941176470588235
100165AAA0DU,1,0,0.0
100352XUZ0B9,6,0,0.0
100353XUZ0AG,6,0,0.0
100354XUZ0AH,6,0,0.0
100356XUZ0AI,6,0,0.0
100358XUZ0AJ,7,0,0.0
100360XUZ0B9,6,0,0.0
100418XUZ0AS,25,0,0.0
100425XUZ02X,29,1,3.4482758620689653
100426XUZ0AT,23,0,0.0
100427XUZ0AT,23,0,0.0
100483XUZ09C,7,0,0.0
100912XUZ0AG,3,0,0.0
101075XUZ0DF,25,1,4.0
101076XUZ0DG,20,0,0.0
101078XUZ0DH,24,0,0.0
101079XUZ0DI,21,0,0.0
101080XUZ0DJ,19,0,0.0
101081XUZ0AU,22,0,0.0
101083XUZ02X,25,0,0.0
101154XUZ02X,25,0,0.0
101679AAA06Z,20,0,0.0
101897XUZ02X,25,0,0.0
102762AAA07L,53,0,0.0
