Entry_Year,total_orders,OTD_failure_rate
2016,1990,0.7728643216080402
2017,6824,0.3959554513481829
2018,5451,0.18840579710144928
2019,4739,0.11605824013504959
2020,6247,0.14022730910837203
2021,5493,0.14691425450573456
2022,5032,0.12042925278219396
2023,3166,0.12002526847757422
2024,347,0.19596541786743515
