context_id,product_id,representation,protocol,candidate_quantity,training_percentile,raw_probability,sigmoid_probability,isotonic_probability,valid_support
12261,100062XXC08D,Q2,A,10429.200000000003,10,0.06297638139089981,0.07456778437449443,0.0,True
12261,100062XXC08D,Q2,A,20100.0,25,0.06297638139089981,0.07456778437449443,0.0,True
12261,100062XXC08D,Q2,A,30680.0,50,0.0623705523676328,0.07438046718642777,0.0,True
12261,100062XXC08D,Q2,A,66645.0,75,0.06461656246860924,0.07507709294358424,0.0,True
12261,100062XXC08D,Q2,A,120000.0,90,0.06745094835492328,0.07596476499701536,0.009615384615384616,True
17251,100062XXC08D,Q2,A,10429.200000000003,10,0.12759359658280742,0.09720296908139901,0.11215580926796508,True
17251,100062XXC08D,Q2,A,20100.0,25,0.12759359658280742,0.09720296908139901,0.11215580926796508,True
17251,100062XXC08D,Q2,A,30680.0,50,0.1322424934412801,0.09904841313289346,0.11215580926796508,True
17251,100062XXC08D,Q2,A,66645.0,75,0.13665585639829317,0.1008291476304378,0.11215580926796508,True
17251,100062XXC08D,Q2,A,120000.0,90,0.1421699350064592,0.10309390642962993,0.11215580926796508,True
23480,100062XXC08D,Q2,A,10429.200000000003,10,0.04925459682509585,0.07042988028309738,0.0,True
23480,100062XXC08D,Q2,A,20100.0,25,0.04925459682509585,0.07042988028309738,0.0,True
23480,100062XXC08D,Q2,A,30680.0,50,0.04840542222932026,0.07018090324045463,0.0,True
23480,100062XXC08D,Q2,A,66645.0,75,0.051524601101717984,0.07109945591497892,0.0,True
23480,100062XXC08D,Q2,A,120000.0,90,0.05475810161547853,0.07206338427887111,0.0,True
17118,100062XXC08D,Q2,A,10429.200000000003,10,0.08206982078468834,0.08069775659573357,0.10465116279069768,True
17118,100062XXC08D,Q2,A,20100.0,25,0.08206982078468834,0.08069775659573357,0.10465116279069768,True
17118,100062XXC08D,Q2,A,30680.0,50,0.08129624991316803,0.08044070411100304,0.10465116279069768,True
17118,100062XXC08D,Q2,A,66645.0,75,0.0838430001311299,0.08128980169230346,0.11215580926796508,True
