product_id,representation,protocol,candidate_quantity,training_percentile,raw_mean,raw_median,raw_p10,raw_p25,raw_p75,raw_p90
100062XXC08D,Q2,A,10429.200000000003,10,0.1088125146219897,0.08656309301040623,0.053532378513212284,0.06297638139089981,0.12689301297523123,0.15275722706417855
100062XXC08D,Q2,A,20100.0,25,0.1088125146219897,0.08656309301040623,0.053532378513212284,0.06297638139089981,0.12689301297523123,0.15275722706417855
100062XXC08D,Q2,A,30680.0,50,0.10894381525227574,0.08705917631661328,0.05261353532308132,0.0623705523676328,0.12575483000025578,0.15899203101158363
100062XXC08D,Q2,A,66645.0,75,0.11635459720406527,0.09031407924365766,0.054581343661021055,0.06461656246860924,0.12998411086605982,0.17376320328365005
100062XXC08D,Q2,A,120000.0,90,0.12096001567512787,0.09456046757149213,0.0579949449052011,0.06745094835492328,0.13527116371071846,0.1804615953804765
100062XXC08D,Q2,B,10429.200000000003,10,0.08113587225454034,0.06238372918541457,0.04264405410081765,0.052598483568454646,0.07684295477086493,0.09254323505703618
100062XXC08D,Q2,B,20100.0,25,0.08113587225454034,0.06238372918541457,0.04264405410081765,0.052598483568454646,0.07684295477086493,0.09254323505703618
100062XXC08D,Q2,B,30680.0,50,0.08113587225454034,0.06238372918541457,0.04264405410081765,0.052598483568454646,0.07684295477086493,0.09254323505703618
100062XXC08D,Q2,B,66645.0,75,0.0842556715468991,0.06575022317291362,0.044274529069852415,0.0542152661846418,0.07935664002433476,0.0987193096392589
100062XXC08D,Q2,B,120000.0,90,0.08822735918797213,0.06841025377424842,0.04679944322381672,0.05990946609929139,0.08500042118401342,0.10634268484546305
100062XXC08D,Q4,A,10429.200000000003,10,0.0871638184752007,0.06265804054622548,0.03670257298194792,0.050347655577466156,0.09097159672864577,0.11901551910109186
100062XXC08D,Q4,A,20100.0,25,0.08751361633220714,0.06553510750756512,0.0371991447434026,0.052068876752400475,0.08854150642642018,0.12452243918958712
100062XXC08D,Q4,A,30680.0,50,0.08737867840956091,0.06386847807917531,0.03762758696563815,0.05054050369325445,0.08596793755091715,0.12074144755905598
100062XXC08D,Q4,A,66645.0,75,0.0891112837048563,0.06702752299020405,0.039474313003339166,0.052413270373637744,0.08827742158277278,0.1215695251402196
100062XXC08D,Q4,A,120000.0,90,0.09033357217056917,0.0673839407583526,0.042780399073966524,0.05296637090820072,0.0896907126028905,0.12308327386005928
100062XXC08D,Q4,B,10429.200000000003,10,0.0666758570301321,0.044203281973187486,0.02797749050027721,0.03611577535269033,0.06374275560113121,0.07700394310306871
100062XXC08D,Q4,B,20100.0,25,0.06789966060258765,0.044170810100212614,0.032367861089892196,0.03824954719916628,0.06521962622439995,0.08013886002603564
100062XXC08D,Q4,B,30680.0,50,0.06872748900211648,0.04496527864450475,0.03233667714771537,0.03919423318406287,0.06563289804701497,0.08097843399404334
100062XXC08D,Q4,B,66645.0,75,0.07040869412166462,0.04650796449168671,0.03328992358768646,0.04062895217340339,0.06692143609627305,0.08254162947980737
100062XXC08D,Q4,B,120000.0,90,0.07047711610000668,0.046603097018364736,0.03335896168573302,0.04071257259798423,0.06705538801520552,0.0827040760048055
100073AAA08U,Q2,A,925.5,10,0.25004062738072214,0.14868429395334326,0.08464208763687761,0.11599746521216246,0.19340727691711063,0.8355352089331063
100073AAA08U,Q2,A,1673.75,25,0.25004062738072214,0.14868429395334326,0.08464208763687761,0.11599746521216246,0.19340727691711063,0.8355352089331063
100073AAA08U,Q2,A,3028.0,50,0.24886680922868107,0.14738364562331333,0.08323622763391046,0.11494414525590435,0.19180370679013453,0.8368430503846582
100073AAA08U,Q2,A,5562.0,75,0.252751902793686,0.15077819776244494,0.08384784792569762,0.11769468423803396,0.19598575396528853,0.8445690961395127
100073AAA08U,Q2,A,11834.5,90,0.25941342658398864,0.1579190606964184,0.08997079131075977,0.12479502835407272,0.20463054787181834,0.8462951810780848
100073AAA08U,Q2,B,925.5,10,0.21180604604053918,0.12077950737947489,0.06500193515736215,0.08285188299035694,0.13103312241510412,0.8159613556228057
100073AAA08U,Q2,B,1673.75,25,0.21180604604053918,0.12077950737947489,0.06500193515736215,0.08285188299035694,0.13103312241510412,0.8159613556228057
100073AAA08U,Q2,B,3028.0,50,0.21180604604053918,0.12077950737947489,0.06500193515736215,0.08285188299035694,0.13103312241510412,0.8159613556228057
100073AAA08U,Q2,B,5562.0,75,0.21343250000066777,0.12183362518455393,0.06599148788618861,0.08408873401141083,0.13216327791910454,0.817612902890415
100073AAA08U,Q2,B,11834.5,90,0.21645968035740035,0.11931804256146746,0.06893046472031948,0.09520098195335958,0.1294658556944703,0.8226189727432379
100073AAA08U,Q4,A,925.5,10,0.24419025924064935,0.13297243760894403,0.08177689177154154,0.1102474605897834,0.19821726877319268,0.8377988577905775
100073AAA08U,Q4,A,1673.75,25,0.246712689850374,0.13195594903373917,0.08204794843813805,0.10993665203848522,0.2043671297351327,0.8458049353727313
100073AAA08U,Q4,A,3028.0,50,0.24771481746833357,0.12680725008152885,0.07985660533885577,0.11059011496170129,0.21443070160983768,0.8502807752141516
100073AAA08U,Q4,A,5562.0,75,0.2502668756857399,0.12921348305369573,0.07935763460171022,0.11992461054789069,0.22558961364334265,0.8559348311468722
100073AAA08U,Q4,A,11834.5,90,0.2540127788456359,0.13492496401820092,0.07941171345062754,0.1249671869945859,0.23581894489299832,0.8545329758941185
100073AAA08U,Q4,B,925.5,10,0.2136583400131326,0.12625142873947195,0.03759889337676681,0.0653962984874532,0.14760524473011796,0.8662992937531024
100073AAA08U,Q4,B,1673.75,25,0.21357250148845516,0.12995765341195742,0.03921687187740763,0.061353573823456124,0.1537276378551825,0.8582095669583067
