feature_set,protocol,representation,test_subset,ROC-AUC,PR-AUC,Brier,log_loss,ECE,calibration_slope,calibration_intercept
STRICT_ORDER_ENTRY,A,Q0,test_full,0.6652018760195759,0.2822677653442662,0.10363018563917308,0.35691112796297847,0.017603177022613416,1.1526317960890688,0.2496771310862986
STRICT_ORDER_ENTRY,A,Q0,test_2023,0.6617599274568331,0.27304028228585053,0.09844239187743818,0.3435605718084924,0.017396921845712107,1.2176301936977432,0.3313185252291342
STRICT_ORDER_ENTRY,A,Q2,test_full,0.6490044570030296,0.27552647345495274,0.1047195134854297,0.3606600577194402,0.021446896260831894,1.244779193298503,0.27485351673111225
STRICT_ORDER_ENTRY,A,Q2,test_2023,0.6398127857331772,0.2685577707287115,0.09971136121942373,0.34814113074181297,0.0273488550757653,1.2800349544139404,0.3034164204269041
STRICT_ORDER_ENTRY,A,Q4,test_full,0.6682737124213469,0.28900044459658947,0.10352067281858655,0.35650742558407894,0.012827996078587586,1.2091297625274469,0.3225582506420069
STRICT_ORDER_ENTRY,A,Q4,test_2023,0.6653771677938566,0.28814508049255083,0.09806491167343993,0.3425106128424234,0.016713598791479208,1.2833116870795023,0.4171231158499936
STRICT_ORDER_ENTRY,B,Q0,test_full,0.6742954002563505,0.3125360201023659,0.10191959480384248,0.3526392129612504,0.026906324507797414,1.337037793901902,0.7279957859805553
STRICT_ORDER_ENTRY,B,Q0,test_2023,0.6698242150602638,0.30633626993989815,0.09657059521547091,0.338748220614113,0.025204724278227907,1.4573929610884473,0.9170364649437097
STRICT_ORDER_ENTRY,B,Q2,test_full,0.6836325302959683,0.3369277251435567,0.1007217238619722,0.348643488675965,0.01164573573106087,1.3703821538416228,0.6975714783589111
STRICT_ORDER_ENTRY,B,Q2,test_2023,0.6783201722900216,0.3280286586346544,0.0957222602438487,0.3356996441015109,0.01814976259029808,1.4765886888568505,0.8596068480650099
STRICT_ORDER_ENTRY,B,Q4,test_full,0.6931317000699138,0.34422094248963336,0.100666096856784,0.34786182752609224,0.02023811116096075,1.5250259991986133,1.051290640913891
STRICT_ORDER_ENTRY,B,Q4,test_2023,0.6947401481089659,0.34258798790330036,0.09537968879131883,0.33393099718406627,0.02022345943356363,1.6782281293741714,1.2938677350529297
EXTENDED_PLANNING_INFORMATION,A,Q0,test_full,0.6467246125611745,0.27954230807458297,0.10331265976006876,0.3576437465234758,0.029719891592310744,1.0666180391421405,0.13973322336658273
EXTENDED_PLANNING_INFORMATION,A,Q0,test_2023,0.6603506253069861,0.2851659739772922,0.09747602788273993,0.34172729384707795,0.030292679601249737,1.1691979135756798,0.2839668687825976
EXTENDED_PLANNING_INFORMATION,A,Q2,test_full,0.6146214460498718,0.2650786769060102,0.10420822022243781,0.36130464149128766,0.012865960098855938,0.9998665163720265,-0.04110965516638422
EXTENDED_PLANNING_INFORMATION,A,Q2,test_2023,0.627485170211962,0.2723755990774994,0.09827953501747434,0.3452222572721517,0.014384494367675232,1.1047543815828718,0.10304946694159062
EXTENDED_PLANNING_INFORMATION,A,Q4,test_full,0.6650813475879747,0.2917260183586474,0.10286465959982603,0.35557881931507684,0.017443536197171185,1.1136757434731541,0.1885816705152443
EXTENDED_PLANNING_INFORMATION,A,Q4,test_2023,0.6727122454377148,0.29805024001818264,0.09690370307215848,0.339785456988313,0.0166403580877685,1.241747264297847,0.38217292152684257
EXTENDED_PLANNING_INFORMATION,B,Q0,test_full,0.6351764594500116,0.27942126197651734,0.1028553460827556,0.35727911680990654,0.007509779110306756,1.0824718474424107,0.16432627134230787
EXTENDED_PLANNING_INFORMATION,B,Q0,test_2023,0.6478350398609589,0.288851061795544,0.09682947076980543,0.34091387863466116,0.010608197046715074,1.2278318235124368,0.40072436777091053
EXTENDED_PLANNING_INFORMATION,B,Q2,test_full,0.6469915229550222,0.2986661546218339,0.10223466984252072,0.354835350621961,0.013170869396920288,1.1066372966768923,0.19254937869822394
EXTENDED_PLANNING_INFORMATION,B,Q2,test_2023,0.6560060641553633,0.3008200610768779,0.0963552680403117,0.33914248619041587,0.01664999407558597,1.2467289020893169,0.4253756402923756
EXTENDED_PLANNING_INFORMATION,B,Q4,test_full,0.6561848199720345,0.29739359390366105,0.10201145900868208,0.3540380876595024,0.019236712787645213,1.1236382817051684,0.2549056876138625
EXTENDED_PLANNING_INFORMATION,B,Q4,test_2023,0.6727434163297692,0.3068492779551406,0.09603257911914598,0.33759544303360794,0.019831078832452165,1.2934836861200718,0.5412097152952334
